"setting","method","coverage","avg_width","median_width"
"2a","0.1-trimmed-Difference-in-Means",0.956,2.46759775410893,2.46477990960309
"2a","0.1-Winsorized-Difference-in-Means",0.964,2.24310188738727,2.24357407922868
"2a","eif (Athey et al., 2023)",1,15.5162713213792,15.5159468218709
"2a","waq (Athey et al., 2023)",1,15.5162713213792,15.5159468218709
"2a","Rosenbaum unadj",0.954,2.27189002914218,2.27101436475908
"2a","OLS adjusted",1,30.330557272106,29.8729834354986
"2a","Lin estimator",1,30.4369847866042,29.9923420817482
"2a","Rosenbaum adj",0.974,1.0856286083742,0.928323923055051
"2b","Difference-in-Means",1,61.3278004112618,33.2999969516652
"2b","Difference-in-Medians",0.948,3.71768549419595,3.69464734749448
"2b","0.1-trimmed-Difference-in-Means",0.966,2.72123846369619,2.71779619250595
"2b","0.1-Winsorized-Difference-in-Means",0.979,2.78954892311048,2.76852659951554
"2b","eif (Athey et al., 2023)",0.686123348017621,13.0169955441733,10.2122250310321
"2b","waq (Athey et al., 2023)",0.481331987891019,13.0169955441733,10.2122250310321
"2b","Rosenbaum unadj",0.96,2.64140382513744,2.6362614351179
"2b","OLS adjusted",1,61.4047795903221,33.2470002743005
"2b","Lin estimator",1,61.7486745325198,33.2400138348435
"2b","Rosenbaum adj",0.974,2.16338062254986,1.39417720190615
"2c","Difference-in-Means",1,30.803187170936,30.483707462666
"2c","Difference-in-Medians",0.957,3.54531164927383,3.54421613250888
"2c","0.1-trimmed-Difference-in-Means",0.968,2.49061625586299,2.49023768690173
"2c","0.1-Winsorized-Difference-in-Means",0.963,2.27915383376386,2.27619824567523
"2c","eif (Athey et al., 2023)",0.995987963891675,15.5299522159087,15.5827659099662
"2c","waq (Athey et al., 2023)",0.997,15.5299522159087,15.5827659099662
"2c","Rosenbaum unadj",0.96,2.32021109410483,2.31880259432887
"2c","OLS adjusted",1,30.4976179744268,29.9520553896005
"2c","Lin estimator",1,30.5796326064806,30.0538313968339
"2c","Rosenbaum adj",0.974,1.13210909177619,0.931342519834326
"3a","Difference-in-Means",0.95,2.86790929456769,2.86561278385485
"3a","Difference-in-Medians",0.935,2.8140567225304,2.80662904411732
"3a","0.1-trimmed-Difference-in-Means",0.947,2.58481377816279,2.58056519463763
"3a","0.1-Winsorized-Difference-in-Means",0.948,2.72847354199318,2.72368515013565
"3a","eif (Athey et al., 2023)",0.991991991991992,1.78013610274293,1.77766428973073
"3a","waq (Athey et al., 2023)",0.985,1.78013610274293,1.77766428973073
"3a","Rosenbaum unadj",0.95,1.90647043644312,1.903116319166
"3a","OLS adjusted",0.952,2.86952630448582,2.86607779712329
"3a","Lin estimator",0.95,2.86989209444748,2.86555046420548
"3a","Rosenbaum adj",0.951,1.91378382215011,1.9124671113307
"3b","Difference-in-Means",0.954,44.2559089660878,11.2742329037218
"3b","Difference-in-Medians",0.945,3.08554403282784,3.06897811299979
"3b","0.1-trimmed-Difference-in-Means",0.938,2.88494693088508,2.87840651337209
"3b","0.1-Winsorized-Difference-in-Means",0.936,3.09371639326782,3.09190166957328
"3b","eif (Athey et al., 2023)",0.964964964964965,2.02742332471236,2.0235552870185
"3b","waq (Athey et al., 2023)",0.904,2.02742332471236,2.0235552870185
"3b","Rosenbaum unadj",0.949,2.33935609866224,2.33348510987394
"3b","OLS adjusted",0.955,44.4942841589008,11.2918856256971
"3b","Lin estimator",0.958,45.1670883795626,11.3008294548398
"3b","Rosenbaum adj",0.944,3.47590352313132,2.43573527489131
"3c","Difference-in-Means",0.945,2.89990055565045,2.89691987743667
"3c","Difference-in-Medians",0.939,2.82052247607628,2.79327274349905
"3c","0.1-trimmed-Difference-in-Means",0.938,2.60942655781315,2.60671248421908
"3c","0.1-Winsorized-Difference-in-Means",0.942,2.75785862589823,2.75459312662647
"3c","eif (Athey et al., 2023)",0.978915662650602,1.75646706549381,1.75436363128824
"3c","waq (Athey et al., 2023)",0.967,1.75646706549381,1.75436363128824
"3c","Rosenbaum unadj",0.945,1.98141864899259,1.98074234379374
"3c","OLS adjusted",0.942,2.90153515065367,2.90048123680733
"3c","Lin estimator",0.942,2.90367811546636,2.90198865805557
"3c","Rosenbaum adj",0.942,1.98865587265693,1.98753750909918
"4a","Difference-in-Means",0.946,1.0423820744867,1.04199960054614
"4a","Difference-in-Medians",0.983,0.813619518126681,0.810589267148796
"4a","0.1-trimmed-Difference-in-Means",0.956,0.950555628128386,0.94866832710415
"4a","0.1-Winsorized-Difference-in-Means",0.949,1.13389865263285,1.13080696207846
"4a","eif (Athey et al., 2023)",0.978,0.532602448462633,0.532021073080972
"4a","waq (Athey et al., 2023)",0.976,0.532602448462633,0.532021073080972
"4a","Rosenbaum unadj",0.975,0.665661857419781,0.665947517833265
"4a","OLS adjusted",0.984,0.380307459629331,0.379539997165477
"4a","Lin estimator",0.986,0.380659429904871,0.37997466491468
"4a","Rosenbaum adj",0.982,0.385854955385137,0.385309114290158
"4b","Difference-in-Means",0.94,41.1751209911817,10.7177848146716
"4b","Difference-in-Medians",0.979,1.1146736006402,1.10936381004292
"4b","0.1-trimmed-Difference-in-Means",0.961,1.30107587428386,1.29988089561115
"4b","0.1-Winsorized-Difference-in-Means",0.948,1.5312602250223,1.53055364889811
"4b","eif (Athey et al., 2023)",0.978,0.841709126348883,0.840375831610871
"4b","waq (Athey et al., 2023)",0.939,0.841709126348883,0.840375831610871
"4b","Rosenbaum unadj",0.974,1.00818170279849,1.00646342088096
"4b","OLS adjusted",0.94,41.249290870234,10.7236488584018
"4b","Lin estimator",0.941,41.598968038568,10.7538669722739
"4b","Rosenbaum adj",0.977,0.812382562241717,0.708979591000326
"4c","Difference-in-Means",0.959,1.11471926653443,1.10995566765079
"4c","Difference-in-Medians",0.991,0.915469743790184,0.913532026725755
"4c","0.1-trimmed-Difference-in-Means",0.96,1.0005874244922,1.00330442013147
"4c","0.1-Winsorized-Difference-in-Means",0.954,1.16595135409163,1.16476130407886
"4c","eif (Athey et al., 2023)",0.971,0.602311227714422,0.601669335636371
"4c","waq (Athey et al., 2023)",0.964,0.602311227714422,0.601669335636371
"4c","Rosenbaum unadj",0.978,0.750771593041672,0.751806140434133
"4c","OLS adjusted",0.968,0.54890798286683,0.539758775585626
"4c","Lin estimator",0.97,0.54965160015685,0.539792503806936
"4c","Rosenbaum adj",0.988,0.456381241735326,0.455126210770729
